"Measurement outcome","Frequency"
"000000","2310"
"000001","27"
"000010","25"
"000100","444"
"000101","14"
"000110","33"
"000111","2"
"001000","2272"
"001001","17"
"001010","20"
"001011","1"
"001100","471"
"001101","13"
"001110","31"
"010000","344"
"010001","13"
"010010","21"
"010100","1659"
"010101","18"
"010110","17"
"011000","332"
"011001","14"
"011010","24"
"011100","1762"
"011101","12"
"011110","29"
"011111","1"
"100000","40"
"100001","1"
"100010","233"
"100011","14"
"100100","149"
"100101","4"
"100110","2282"
"100111","31"
"101000","44"
"101001","1"
"101010","278"
"101011","9"
"101100","125"
"101101","1"
"101110","2294"
"101111","34"
"110000","116"
"110010","1807"
"110011","13"
"110100","53"
"110101","1"
"110110","322"
"110111","19"
"111000","119"
"111010","1703"
"111011","11"
"111100","46"
"111101","4"
"111110","309"
"111111","11"
